edge	PearsonCor
ENSDARG00000056387 (geneExprCor) ENSDARG00000014209	0.87645122696908
ENSDARG00000056387 (geneExprCor) ENSDARG00000037551	0.886089363974642
ENSDARG00000056387 (geneExprCor) ENSDARG00000037874	0.84383308716094
ENSDARG00000056387 (geneExprCor) ENSDARG00000042698	0.865766244374658
ENSDARG00000056387 (geneExprCor) ENSDARG00000042956	0.807246388407312
ENSDARG00000056387 (geneExprCor) ENSDARG00000052894	0.852508958974289
ENSDARG00000057026 (geneExprCor) ENSDARG00000010487	0.808045210918658
ENSDARG00000057026 (geneExprCor) ENSDARG00000015111	0.840932327164343
ENSDARG00000057026 (geneExprCor) ENSDARG00000029722	0.824860130024134
ENSDARG00000057026 (geneExprCor) ENSDARG00000035325	0.837321736108006
ENSDARG00000057026 (geneExprCor) ENSDARG00000036161	0.873016815125098
ENSDARG00000057026 (geneExprCor) ENSDARG00000052856	0.859144953200225
ENSDARG00000057368 (geneExprCor) ENSDARG00000000887	0.815206533461169
ENSDARG00000057368 (geneExprCor) ENSDARG00000007601	0.836505893621537
ENSDARG00000057368 (geneExprCor) ENSDARG00000011932	0.818181164942581
ENSDARG00000057368 (geneExprCor) ENSDARG00000037551	0.839422128540064
ENSDARG00000057368 (geneExprCor) ENSDARG00000042956	0.831548178793724
ENSDARG00000057368 (geneExprCor) ENSDARG00000056387	0.856116864306328
ENSDARG00000058328 (geneExprCor) ENSDARG00000040440	0.810907596686677
ENSDARG00000058328 (geneExprCor) ENSDARG00000055838	0.839092652952693
ENSDARG00000058369 (geneExprCor) ENSDARG00000053301	0.818739017435172
ENSDARG00000058425 (geneExprCor) ENSDARG00000019339	0.808861669949734
ENSDARG00000058471 (geneExprCor) ENSDARG00000002403	0.811149869014698
ENSDARG00000058471 (geneExprCor) ENSDARG00000006260	0.814080355522594
ENSDARG00000062002 (geneExprCor) ENSDARG00000023272	0.817723413365885
ENSDARG00000062002 (geneExprCor) ENSDARG00000035325	0.805316603985855
ENSDARG00000062002 (geneExprCor) ENSDARG00000041141	0.819848137399484
ENSDARG00000062402 (geneExprCor) ENSDARG00000000887	0.840973701547671
ENSDARG00000062402 (geneExprCor) ENSDARG00000006508	0.81916665495622
ENSDARG00000062402 (geneExprCor) ENSDARG00000007601	0.830343767013867
ENSDARG00000062402 (geneExprCor) ENSDARG00000037551	0.80515294549794
ENSDARG00000062402 (geneExprCor) ENSDARG00000042683	0.812541365694822
ENSDARG00000062402 (geneExprCor) ENSDARG00000042698	0.866915361649723
ENSDARG00000062402 (geneExprCor) ENSDARG00000045580	0.919605264493839
ENSDARG00000062402 (geneExprCor) ENSDARG00000052894	0.839510187023545
ENSDARG00000062402 (geneExprCor) ENSDARG00000056387	0.808586838825632
